id,created_time,creator_id,modified_time,modifier_id,is_deleted,job_id,job_name,job_group,func_name,func_args,func_kwargs,run_info,run_except_info,run_status,run_time
807,2024-06-17 16:35:34.734744,0,2024-06-17 16:35:34.734744,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-17 16:35:34.665436
808,2024-06-17 16:35:41.025172,0,2024-06-17 16:35:41.025172,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 16:35:39.000000
809,2024-06-17 16:45:29.603149,0,2024-06-17 16:45:29.603149,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-17 16:45:29.533854
810,2024-06-17 20:00:01.602328,0,2024-06-17 20:00:01.602328,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:432本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-17 20:00:00.000000
811,2024-06-18 00:00:01.582821,0,2024-06-18 00:00:01.582821,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 00:00:00.000000
812,2024-06-18 04:00:02.880349,0,2024-06-18 04:00:02.880349,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 04:00:00.000000
813,2024-06-18 08:00:01.645068,0,2024-06-18 08:00:01.645068,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 08:00:00.000000
815,2024-06-18 16:00:01.707177,0,2024-06-18 16:00:01.707177,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 16:00:00.000000
814,2024-06-18 12:00:01.622409,0,2024-06-18 12:00:01.622409,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 12:00:00.000000
816,2024-06-18 16:02:52.609628,0,2024-06-18 16:02:52.609628,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-18 16:02:52.522013
817,2024-06-18 16:02:58.797993,0,2024-06-18 16:02:58.797993,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 16:02:57.000000
818,2024-06-18 17:46:30.566878,0,2024-06-18 17:46:30.566878,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-18 17:46:30.508354
819,2024-06-18 17:46:37.376289,0,2024-06-18 17:46:37.376289,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 17:46:35.000000
820,2024-06-18 20:00:02.134277,0,2024-06-18 20:00:02.134277,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:399本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-18 20:00:00.000000
821,2024-06-19 00:00:01.734097,0,2024-06-19 00:00:01.734097,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 00:00:00.000000
822,2024-06-19 03:44:45.884399,0,2024-06-19 03:44:45.884399,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-19 03:44:45.798581
823,2024-06-19 03:44:51.568964,0,2024-06-19 03:44:51.568964,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 03:44:50.000000
824,2024-06-19 04:00:01.657719,0,2024-06-19 04:00:01.657719,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 04:00:00.000000
825,2024-06-19 08:00:06.113479,0,2024-06-19 08:00:06.113479,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 08:00:00.000000
826,2024-06-19 09:46:31.847209,0,2024-06-19 09:46:31.847209,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-19 09:46:31.775253
827,2024-06-19 09:46:40.657746,0,2024-06-19 09:46:40.657746,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 09:46:36.000000
828,2024-06-19 09:51:15.276930,0,2024-06-19 09:51:15.276930,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-19 09:51:15.195294
829,2024-06-19 09:51:21.695216,0,2024-06-19 09:51:21.695216,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 09:51:20.000000
830,2024-06-19 11:58:27.031107,0,2024-06-19 11:58:27.031107,0,0,,active_sniffer_after_run,,,,,"----------------task_id:active_sniffer_after_run,args:(),kwargs:{}----------------""嗅探器激活成功,当前使用的嗅探器为:http://172.23.0.6:5708""",,1,2024-06-19 11:58:26.952452
831,2024-06-19 11:58:32.623479,0,2024-06-19 11:58:32.623479,0,0,tv_spider,tv源爬虫,setInterval,tasks.tv_spider.main,[],{},爬取直播文件行数:282本次成功写入本地文件tv.txt 本次成功写入本地文件mytv.txt,,1,2024-06-19 11:58:31.000000
